step,total_steps,loss,kl_loss,policy_ratio,reward_avg,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg,eval_acc
174,500,27.490995,27.490995,0.468049,0.000000,23.452470,1024.000000,0.000000,0.000000,11.920865,
175,500,27.168633,27.168633,0.236412,0.000000,23.482611,1024.000000,0.000000,0.000000,11.921284,
176,500,24.571079,24.571079,1.004437,0.000000,22.489471,932.000000,0.000000,0.000000,11.922329,
177,500,26.061668,26.061668,1.975211,0.000000,23.307066,1024.000000,0.000000,0.000000,11.920829,
178,500,26.489216,26.489216,0.961397,0.000000,23.619235,1024.000000,0.000000,0.000000,11.920563,
179,500,26.509733,26.509733,0.360104,0.000000,23.545648,1024.000000,0.000000,0.000000,11.920809,
180,500,26.177114,26.177114,0.542605,0.000000,23.487967,1024.000000,0.000000,0.000000,11.922232,
181,500,27.031111,27.031111,0.980906,0.000000,23.586498,1024.000000,0.000000,0.000000,11.922630,
182,500,26.456966,26.456966,1.119220,0.000000,23.640591,1024.000000,0.000000,0.000000,11.922453,
183,500,27.177334,27.177334,0.919605,0.000000,23.441336,1024.000000,0.000000,0.000000,11.922296,
184,500,27.273689,27.273689,0.471513,0.000000,23.479508,1024.000000,0.000000,0.000000,11.922848,
185,500,26.955456,26.955456,1.063636,0.000000,23.307693,1024.000000,0.000000,0.000000,11.922917,
186,500,26.009626,26.009626,1.008417,0.000000,23.396607,1015.250000,0.000000,0.000000,11.922886,
187,500,26.036299,26.036299,0.738864,0.000000,23.425383,1024.000000,0.000000,0.000000,11.922375,
188,500,26.316982,26.316982,0.511294,0.000000,23.489376,1024.000000,0.000000,0.000000,11.922750,
189,500,26.799152,26.799152,1.145083,0.000000,23.339453,1024.000000,0.000000,0.000000,11.923167,
190,500,27.136269,27.136269,0.848334,0.000000,23.476618,1024.000000,0.000000,0.000000,11.922701,
191,500,26.828781,26.828781,0.790575,0.000000,23.287950,1024.000000,0.000000,0.000000,11.922897,
192,500,26.704355,26.704355,0.371240,0.000000,20.737869,1024.000000,0.000000,0.000000,11.921263,
193,500,27.465366,27.465366,1.000755,0.000000,23.371387,1024.000000,0.000000,0.000000,11.923662,
194,500,27.037836,27.037836,1.001283,0.000000,23.361574,1024.000000,0.000000,0.000000,11.923546,
195,500,26.220829,26.220829,0.739130,0.000000,23.658854,1024.000000,0.000000,0.000000,11.923713,
196,500,26.240194,26.240194,0.929839,0.000000,23.539296,1024.000000,0.000000,0.000000,11.924046,
197,500,26.158587,26.158587,1.066814,0.000000,23.919621,1024.000000,0.000000,0.000000,11.924110,
198,500,25.469982,25.469982,0.790139,0.000000,23.488514,1024.000000,0.000000,0.000000,11.923963,
199,500,24.904655,24.904655,0.973024,0.000000,22.917035,968.625000,0.000000,0.000000,11.924240,
200,500,26.949718,26.949718,0.494610,0.000000,23.450350,1024.000000,0.000000,0.000000,11.924395,0.0
201,500,26.214272,26.214272,1.214995,0.000000,23.589637,1024.000000,0.000000,0.000000,11.924212,
202,500,27.061253,27.061253,1.100335,0.000000,23.463180,1024.000000,0.000000,0.000000,11.923701,
203,500,27.217890,27.217890,0.679870,0.000000,23.552490,1024.000000,0.000000,0.000000,11.923853,
204,500,27.959618,27.959618,0.509434,0.000000,23.390696,1024.000000,0.000000,0.000000,11.924397,
205,500,26.265324,26.265324,1.622510,0.000000,23.620769,1024.000000,0.000000,0.000000,11.924708,
206,500,26.746782,26.746782,1.028322,0.000000,23.543057,1024.000000,0.000000,0.000000,11.924287,
207,500,25.836678,25.836678,0.762627,0.000000,23.623655,1024.000000,0.000000,0.000000,11.924456,
208,500,26.759176,26.759176,0.675583,0.000000,23.474288,1024.000000,0.000000,0.000000,11.924451,
209,500,25.953571,25.953571,1.006456,0.000000,23.429111,1024.000000,0.000000,0.000000,11.924528,
210,500,26.974628,26.974628,0.718048,0.000000,23.624013,1024.000000,0.000000,0.000000,11.924400,
211,500,27.342049,27.342049,0.615456,0.000000,23.547561,1024.000000,0.000000,0.000000,11.924422,
212,500,27.803705,27.803705,0.652910,0.000000,23.536166,1024.000000,0.000000,0.000000,11.924829,
213,500,26.885132,26.885132,1.439719,0.000000,23.661148,1024.000000,0.000000,0.000000,11.924740,
214,500,26.638725,26.638725,0.965253,0.000000,23.440508,1024.000000,0.000000,0.000000,11.924783,
215,500,27.289570,27.289570,0.570685,0.000000,23.457490,1024.000000,0.000000,0.000000,11.924994,
